3 , 10
25 , 17
24 , 29
37 , 40
37 , 43
8 , 4
40 , 47
12 , 9
39 , 38
48 , 34
12 , 5
15 , 22
16 , 10
1 , 11
14 , 16
16 , 8
5 , 17
21 , 33
25 , 6
27 , 36
27 , 38
45 , 38
3 , 21
29 , 37
1 , 13
1 , 20
33 , 31
38 , 49
18 , 42
30 , 32
34 , 19
43 , 31
46 , 29
47 , 44
14 , 43
30 , 40
39 , 3
27 , 47
32 , 2
32 , 25
1 , 37
5 , 41
12 , 36
34 , 2
26 , 41
36 , 20
5 , 39
6 , 33
26 , 39
0 , 3
11 , 10
14 , 34
14 , 46
37 , 2
49 , 28
3 , 14
13 , 45
11 , 45
33 , 7
44 , 28
44 , 34
21 , 42
48 , 2
38 , 7
49 , 12
30 , 7
17 , 35
46 , 0
22 , 44
0 , 39
