1, 1 , 1
6, 1 , 2
10, 1 , 3
15, 1 , 4
3, 2 , 5
12, 2 , 6
14, 2 , 7
1, 3 , 8
6, 3 , 9
12, 3 , 10
15, 3 , 11
2, 4 , 12
8, 4 , 13
1, 5 , 14
4, 5 , 15
10, 5 , 16
11, 5 , 17
16, 5 , 18
2, 6 , 19
7, 6 , 20
10, 6 , 21
12, 6 , 22
15, 6 , 23
6, 7 , 24
13, 7 , 25
16, 7 , 26
6, 8 , 27
7, 8 , 28
9, 8 , 29
11, 8 , 30
15, 8 , 31
1, 9 , 32
6, 9 , 33
9, 10 , 34
12, 11 , 35
2, 12 , 36
4, 12 , 37
7, 12 , 38
10, 12 , 39
15, 12 , 40
9, 13 , 41
13, 13 , 42
4, 14 , 43
6, 14 , 44
1, 15 , 45
6, 15 , 46
8, 15 , 47
11, 15 , 48
13, 15 , 49
16, 15 , 50
