0 , 3
0 , 39
1 , 11
1 , 13
1 , 20
1 , 37
3 , 10
3 , 14
3 , 21
5 , 17
5 , 39
5 , 41
6 , 33
8 , 4
11 , 10
11 , 45
12 , 5
12 , 9
12 , 36
13 , 45
14 , 16
14 , 34
14 , 43
14 , 46
15 , 22
16 , 8
16 , 10
17 , 35
18 , 42
21 , 33
21 , 42
22 , 44
24 , 29
25 , 6
25 , 17
26 , 39
26 , 41
27 , 36
27 , 38
27 , 47
29 , 37
30 , 7
30 , 32
30 , 40
32 , 2
32 , 25
33 , 7
33 , 31
34 , 2
34 , 19
36 , 20
37 , 2
37 , 40
37 , 43
38 , 7
38 , 49
39 , 3
39 , 38
40 , 47
43 , 31
44 , 28
44 , 34
45 , 38
46 , 0
46 , 29
47 , 44
48 , 2
48 , 34
49 , 12
49 , 28
